ID,Codigo de grupo,Nombre de grupo,Lider,Avalado,Estado,Calificado,Programa nacional,Programa nacional secundario,Programa tipo
117,COL0015169,"Promoción de la salud y Prevención de la Enfermedad",MARIA EUGENIA PICO MERCHAN,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
118,COL0016809,"Morfologia Celular ",ORLANDO TORRES FERNANDEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
119,COL0060915,"GENIUROS",CARLOS MARTIN RESTREPO FERNANDEZ,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
120,COL0005806,"BIOIMPEDANCIA ELECTRICA",CARLOS AUGUSTO GONZALEZ CORREA,1 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
121,COL0004362,"Epidemiología",CARLOS ALBERTO ROJAS ARBELAEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
122,COL0006483,"GRUPO DE NEUROCIENCIAS-UNIVERSIDAD NACIONAL DE COLOMBIA",HUMBERTO ARBOLEDA GRANADOS,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
123,COL0006714,"Genética Molecular",MARIA MERCEDES ZAMBRANO EDER,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
124,COL0057839,"GiSCYT",JUAN ALBERTO CASTILLO MARTINEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
125,COL0013746,"Microbiología Molecular",MARGARITA MARIA CORREA OCHOA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
126,COL0011296,"Grupo de Investigación Clínica",ANGELA MARIA RUIZ STERNBERG,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
127,COL0024319,"CONTROL DE CALIDAD DE LOS PROCESOS EN SALUD",FRANCIA ESTHER HERRERA SALAZAR,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
128,COL0015043,"Productos Naturales Marinos",DIANA MARGARITA MARQUEZ FERNANDEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias del Mar y los Recursos Hidrobiológicos","Ciencia, Tecnología e Innovación en Salud",Salud.
129,COL0016686,"UNIMOL",DORIS ESTHER GOMEZ CAMARGO,3 de 5,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
130,COL0015203,"Proyecto UNI-Barranquilla",RAFAEL DE JESUS TUESCA MOLINA,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
131,COL0057419,"Grupo de Investigación en Medicina Tropical - CIMET",MARIA TERESA MOJICA ORTIZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e innovación en Ambiente, Biodiversidad y Hábitat",Salud.
132,COL0050659,"Investigación Fundación Oftalmológica Nacional",FRANCISCO JOSE RODRIGUEZ ALVIRA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
133,COL0024427,"MI DNEUROPSY",ESPERANZA CABRERA DIAZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
134,COL0012328,"Infección y Cáncer",GLORIA INES SANCHEZ VASQUEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
135,COL0135702,"Discapacidad, Políticas y Justicia Social.",MARISOL MORENO ANGARITA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
136,COL0006859,"Gerencia y Políticas de Salud",AMPARO HIGINIA HERNANDEZ BELLO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
137,COL0009396,"Grupo de Investigación en Anestesiología",FELIX RAMON MONTES ROMERO,2 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
138,COL0011714,"HISTORIA DE LA SALUD EN BOYACA",ABEL FERNANDO MARTINEZ MARTIN,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
139,COL0000523,"Matemáticas y Aplicaciones",GABRIEL IGNACIO LOAIZA OSSA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
140,COL0007865,"Biología y Control de Enfermedades Infecciosas",OMAR TRIANA CHAVEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
141,COL0016784,"Departamento de Epidemiologia Clinica y Bioestadistica",NELCY RODRIGUEZ MALAGON,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
142,COL0003249,"Demografía y Salud",HUGO DE JESUS GRISALES ROMERO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
143,COL0053071,"Grupo de investigación en Salud Pública",LUCELLY LOPEZ LOPEZ,3 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
144,COL0021891,"GEPAMOL",JORGE ENRIQUE GOMEZ MARIN,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
145,COL0009799,"Grupo de Investigación en Genética Humana Aplicada - GIGHA",CARLOS HERNAN SIERRA TORRES,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
146,COL0134474,"SALUD COMFAMILIAR",GLORIA LILIANA PORRAS HURTADO,2 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
147,COL0014476,"Toxinología, Alternativas Terapéuticas y Alimentarias",JUAN CARLOS ALARCON PEREZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
148,COL0007121,"Grupo Académico de Epidemiología Clínica",HECTOR IVAN GARCIA GARCIA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
149,COL0013138,"Laboratorio de Investigaciones en Parasitología Tropical",GUSTAVO ADOLFO VALLEJO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
150,COL0059709,"Epidemiología y Bioestadística",ANGELA MARIA SEGURA CARDONA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
151,COL0083811,"Impacto de componentes alimentarios en la salud",MARIA ELENA MALDONADO CELIS,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
152,COL0112548,"Infettare",WILDEMAN ZAPATA BUILES,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
153,COL0000407,"Alimentación y Nutrición Humana",SANDRA LUCIA RESTREPO MESA,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
154,COL0015965,"Salud Comportamental y Organizacional",CARLA MARIA ZAPATA RUEDA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
155,COL0007631,"Grupo Reproducción",ANGELA PATRICIA CADAVID JARAMILLO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
156,COL0015599,"Rehabilitación en Salud",LUZ HELENA LUGO AGUDELO,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
157,COL0011465,"Grupo de investigación sobre Conflicto e instituciones en una perspectiva comparada - IEPRI-UN",FRANCISCO AURELIO EDUARDO GUTIERREZ SANIN,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
158,COL0068403,"Genetica Humana",IGNACIO BRICENO BALCAZAR,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
159,COL0058247,"Laboratorio de Química Orgánica y Biomolecular",VLADIMIR KOUZNETSOV,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
160,COL0012426,"Inmunodeficiencias Primarias",JOSE LUIS FRANCO RESTREPO,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
161,COL0013109,"Laboratorio de Genética Humana",HELENA GROOT DE RESTREPO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
162,COL0100411,"Vidarium",KATALINA MUNOZ DURANGO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
163,COL0010359,"Grupo de Investigación en Sustancias Bioactivas -GISB-",EDISON OSORIO DURANGO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
164,COL0005412,"GENETICA MOLECULAR HUMANA",GUILLERMO BARRETO RODRIGUEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
165,COL0014519,"SALUD Y CALIDAD DE VIDA",MARIA TERESA VARELA AREVALO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
166,COL0101651,"Nutrición, Genética y Metabolismo",CARLOS ANDRES CASTRO ROJAS,1 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
167,COL0004513,"Estudio Genético de Enfermedades Complejas",MARIA CAROLINA PAEZ LEAL,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
168,COL0029263,"Grupo de Investigación en subespecialidades Pediatrícas",ALVARO DURAN HERNANDEZ,3 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
169,COL0025596,"QUIMICA ANALITICA Y BIOMEDICINA",DARIO MANUEL MENDEZ CUADRO,3 de 5,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
170,COL0003169,"DESTINO",DIEGO LUIS LINARES OSPINA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación en Salud",Salud.
171,COL0025649,"Grupo de Fisiología Celular y Aplicada",JULIO CESAR SANCHEZ NARANJO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
172,COL0020796,"GRUPO DE FÍSICA NUCLEAR APLICADA Y SIMULACIÓN",SEGUNDO AGUSTIN MARTINEZ OVALLE,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
173,COL0023706,"Genetica y Biologia Molecular",NIRADIZ REYES RAMOS,2 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
174,COL0012515,"Instituto de Errores Innatos del Metabolismo",CARLOS JAVIER ALMECIGA DIAZ,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
175,COL0020089,"GITOUC Grupo interdisciplinario de investigaciones y tratamientos odontológicos Universidad de Cartagena",ANTONIO JOSE DIAZ CABALLERO,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
176,COL0019427,"Centro de Investigación Biomédica Universidad de La Sabana (CIBUS)",FERNANDO LIZCANO LOSADA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
177,COL0065929,"Grupo de Estudios Sociales de las Ciencias, las Tecnologías y las Profesiones",EMILIO QUEVEDO VELEZ,4 de 7,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
178,COL0012542,"Laboratorio de Genética Molecular Bacteriana",JAVIER ANTONIO ESCOBAR PEREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
179,COL0112922,"Grupo de Investigación en Salud Pública, Educación y Profesionalismo Médico (S.E.P.)",CATALINA GONZALEZ URIBE,2 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
180,COL0044985,"ENLACE",JAIME HUMBERTO MORENO MENDEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
181,COL0019919,"CENTRO DE INVESTIGACIONES CARDIODIAGNOSTICO SA/FUNDACION DEL CARIBE PARA LA INVESTIGACION BIOMEDICA",MIGUEL ALBERTO URINA TRIANA,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
182,COL0024507,"Grupo de Virología INS",DIOSELINA PELAEZ CARVAJAL,1 de 1,Categoría A1,Convocatoria 833 de 2018,"No Aplica","Ciencia, Tecnología e Innovación en Salud",Salud.
183,COL0019991,"Carlos Finlay",NICOLAS ARTURO NUNEZ GOMEZ,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
184,COL0014556,"Parasitología y Medicina Tropical",CARLOS FERNANDO NARVAEZ ROJAS,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e innovación en Ambiente, Biodiversidad y Hábitat",Salud.
185,COL0001048,"LIBBIQ UN",MARIA HELENA RAMIREZ HERNANDEZ,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
186,COL0026252,"Grupo de Biotecnologia e Infecciones Bacterianas",GERARDO ANDRES LIBREROS ZUNIGA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Biotecnología","Ciencia, Tecnología e Innovación en Salud",Salud.
187,COL0022422,"Alimentos, nutrición y salud",LILIA YADIRA CORTES SANABRIA,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
188,COL0028865,"IMAGINE:  Computación Visual, I+D+i",PABLO ALEJANDRO FIGUEROA FORERO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación en Salud",Salud.
189,COL0011179,"Grupo de Estudios Epidemiológicos y Salud Pública - FCV",DORIS CRISTINA QUINTERO LESMES,3 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
190,COL0019319,"Dermatología clínica e infecciosa",ADRIANA MOTTA BELTRAN,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
191,COL0029109,"Pedagogia y Salud",JORGE LUIS BILBAO RAMIREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
192,COL0009458,"Grupo de Investigación en Bioingeniería (GIB) CES - EAFIT",SANTIAGO ALBERTO CORREA VELEZ,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones",Salud.
193,COL0041778,"Calidad, seguridad y educación en salud",LUZ MARIA GOMEZ BUITRAGO,1 de 1,Categoría A,Convocatoria 833 de 2018,"No Aplica","Ciencia, Tecnología e Innovación en Salud",Salud.
194,COL0025531,"Neuroaprendizaje-Ciencias Cognitivas",MARY ORREGO CARDOZO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
195,COL0031279,"Banco de Sangre, Transfusión y Trasplante",MARIA ISABEL BERMUDEZ FORERO,1 de 1,Categoría A,Convocatoria 833 de 2018,"No Aplica","Ciencia, Tecnología e Innovación en Salud",Salud.
196,COL0015249,"Psicoanálisis, Sujeto y Sociedad",JUAN MANUEL MARTIN URIBE CANO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
197,COL0067059,"Investigación Básica y Aplicada en Odontología",SONIA DEL PILAR BOHORQUEZ AVILA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
198,COL0029693,"ESCULAPIO",JESSICA LOPEZ LAVERDE,1 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
199,COL0054918,"GRUPO DE INVESTIGACIÓN EN TECNOLOGÍA DE PRODUCTOS NATURALES - TECPRONA",PILAR ESTER LUENGAS CAICEDO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
200,COL0127129,"CIM@LAB",EDGAR EDUARDO ROMERO CASTRO,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones",Salud.
201,COL0057446,"Espondiloartropatias Universidad de La Sabana",JOHN LONDONO PATINO,3 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
202,COL0071051,"Terapia Regenerativa",JORGE URIEL CARMONA RAMIREZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
203,COL0034085,"ESCLEROSIS MULTIPLE Y OTROS TRASTORNOS NEUROLÓGICOS",JAIME TORO GOMEZ,3 de 5,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
204,COL0041212,"Grupo de epidemiología de la Universidad de los Andes (Epiandes)",OLGA LUCIA SARMIENTO DUENAS,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
205,COL0034399,"ANESTESIA",MARIA CLAUDIA NINO DE MEJIA,3 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
206,COL0065312,"Grupo de Investigación Instituto Colombiano de Investigación en Visión y Oftalmología (CIRVO)",LUIS JOSE ESCAF JARABA,3 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
207,COL0146822,"Grupo de Investigacion la Práctica de Enfermeria en el Contexto Social",SANDRA CATALINA OCHOA MARIN,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
208,COL0128539,"Diabetes, lípidos y metabolismo UniAndes",CARLOS OLIMPO MENDIVIL ANAYA,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Salud",Salud.
209,COL0037336,"Procesos Estocásticos ",LILIANA BLANCO CASTANEDA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
210,COL0007014,"Gestión y Políticas de Salud",GABRIEL JAIME OTALVARO CASTRO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
211,COL0037219,"GRUPO DE INVESTIGACIÓN EN SOFTWARE - GIS",MAURO CALLEJAS CUERVO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación en Salud",Salud.
212,COL0035986,"Psicología, Salud y Sociedad",NADIA SEMENOVA MORATTO VASQUEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
213,COL0056476,"Grupo de Investigación e Innovación Biomédica ",SANDRA SULAY ARANGO VARELA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
214,COL0068495,"Grupo de Investigación en Inmunotoxicología",LUCY GABRIELA DELGADO MURCIA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
215,COL0124807,"DEPARTAMENTO DE PATOLOGIA FSFB - UNIVERSIDAD DE LOS ANDES - ENFERMEDADES COMPLEJAS",RAFAEL ENRIQUE ANDRADE PEREZ,3 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
216,COL0126749,"Centro de Investigación,Innovación y Desarrollo CIID ",JOHN UMBARILA PRIETO,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
217,COL0052495,"CIMBIOS (Ciencia de Materiales Biológicos y Semiconductores)",DAVID ALEJANDRO MIRANDA MERCADO,4 de 7,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
218,COL0000962,"Biología Celular y Molecular CIB, U. de A. ",ORVILLE HERNANDEZ RUIZ,4 de 6,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
219,COL0117867,"Neurociencias Básicas y Aplicadas (NBA)",OLBER EDUARDO ARANGO TOBON,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
220,COL0005904,"GRUPO DE INGENIERIA BIOMÉDICA",MARIO ANDRES VALDERRAMA MANRIQUE,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
221,COL0030765,"GRUPO DE INVESTIGACIÓN EN TECNOLOGÍAS APLICADAS - GITA",ROSA ELVIRA CORREA GUTIERREZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ingeniería","Ciencia, Tecnología e Innovación en Salud",Salud.
222,COL0104626,"ENFERMEDADES CRONICAS ZOONOTICAS ADQUIRIDAS ECZA",CARMEN CECILIA ALMONACID URREGO,3 de 5,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
223,COL0113652,"CAPACIDADES HUMANAS, SALUD E INCLUSION",OLGA LUCIA MONTOYA HURTADO,1 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
224,COL0049524,"Grupo de Investigación en Psiquiatría de Enlace",JOSE GABRIEL FRANCO VASQUEZ,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
225,COL0035117,"Grupo de estabilidad de medicamentos, cosméticos y alimentos, GEMCA",CECILIA GALLARDO CABRERA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
226,COL0031477,"CONTROL AUTOMÁTICO",EDUARDO GIRALDO SUAREZ,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ingeniería","Ciencia, Tecnología e Innovación en Salud",Salud.
227,COL0034746,"Kinesiología, Salud y Desarrollo",BEATRIZ MENA BEJARANO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
228,COL0013719,"Grupo de Micología  y Fitopatologia ",SILVIA RESTREPO RESTREPO,3 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
229,COL0113447,"Grupo de Investigación en Ciencias Básicas  y Clínicas de la Salud",MILTON FABIAN SUAREZ ORTEGON,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
